technical_skill,communication,preferred_domain,education,career
data,good,analytics,msc,AI/ML Engineer
diagnosis,good,healthcare,mbbs,Doctor
physics,average,infrastructure,diploma,Civil Engineer
math,good,analytics,bba,Data Analyst
database,excellent,hr,mba,HR Manager
management,excellent,business,bba,Business Analyst
strategy,excellent,technology,btech,Product Manager
web,average,technology,mtech,Software Developer
diagnosis,average,finance,bcom,Financial Analyst
research,good,research,msc,Biologist
css,good,creative,bdes,UI/UX Designer
writing,good,marketing,mba,Marketing Manager
physics,good,engineering,mtech,Mechanical Engineer
html,good,technology,bdes,UI/UX Designer
lab,good,science,bsc,Biologist
sql,excellent,technology,msc,Data Scientist
biology,average,research,phd,Biologist
physics,good,infrastructure,mtech,Civil Engineer
communication,excellent,business,mba,HR Manager
psychology,excellent,business,mba,HR Manager
java,good,technology,mtech,Software Developer
cad,average,engineering,btech,Mechanical Engineer
data,good,business,bba,Data Analyst
physics,excellent,engineering,btech,Civil Engineer
python,good,infrastructure,btech,DevOps Engineer
lab,average,science,msc,Chemist
excel,good,business,btech,Data Analyst
medicine,excellent,science,md,Doctor
python,good,analytics,btech,Machine Learning Engineer
python,good,technology,mca,DevOps Engineer
security,good,science,mca,DevOps Engineer
networking,good,technology,btech,Cybersecurity Analyst
math,excellent,finance,mcom,Financial Analyst
javascript,average,technology,mtech,Software Developer
math,excellent,business,mba,Financial Analyst
investigation,excellent,news,diploma,Journalist
design,excellent,technology,ba,UI/UX Designer
security,excellent,infrastructure,btech,DevOps Engineer
data,good,analytics,bba,Business Analyst
html,excellent,creative,high_school,UI/UX Designer
writing,excellent,marketing,bba,Marketing Manager
networking,excellent,technology,bsc,Cybersecurity Analyst
design,good,technology,bdes,UI/UX Designer
research,good,research,mbbs,Biologist
math,excellent,finance,bba,Financial Analyst
construction,average,engineering,mtech,Civil Engineer
security,excellent,security,bsc,Cybersecurity Analyst
art,good,creative,diploma,Graphic Designer
deep learning,average,technology,mtech,Software Developer
seo,excellent,business,bba,Marketing Manager
python,good,analytics,btech,Machine Learning Engineer
security,good,technology,mtech,Cybersecurity Analyst
photoshop,good,creative,bdes,Graphic Designer
mechanics,average,manufacturing,btech,Mechanical Engineer
biology,average,healthcare,md,Doctor
sql,good,business,btech,Data Analyst
medicine,good,healthcare,mbbs,Doctor
database,average,technology,mca,Full Stack Developer
management,excellent,marketing,bba,Marketing Manager
art,good,media,bdes,Graphic Designer
excel,good,analytics,bba,Data Analyst
sql,good,business,btech,Data Analyst
sql,good,technology,mca,Data Engineer
mechanics,good,manufacturing,diploma,Mechanical Engineer
sql,average,technology,btech,Data Engineer
networking,average,technology,diploma,Network Engineer
seo,excellent,business,bba,Marketing Manager
medicine,excellent,healthcare,mbbs,Doctor
research,average,research,phd,Biologist
seo,average,marketing,ba,Content Writer
accounting,excellent,business,mba,Financial Analyst
finance,good,business,bcom,Financial Analyst
python,average,technology,btech,Machine Learning Engineer
python,good,analytics,msc,Machine Learning Engineer
math,good,analytics,bba,Data Analyst
math,good,technology,btech,Machine Learning Engineer
biology,excellent,healthcare,md,Doctor
strategy,excellent,business,btech,Product Manager
linux,good,technology,mca,DevOps Engineer
database,good,technology,btech,Data Engineer
database,good,analytics,mca,Data Engineer
math,good,technology,btech,Machine Learning Engineer
math,excellent,analytics,mtech,AI/ML Engineer
hardware,average,technology,btech,Network Engineer
css,good,creative,bdes,UI/UX Designer
python,good,infrastructure,btech,DevOps Engineer
hardware,average,technology,btech,Network Engineer
agile,excellent,technology,mba,Product Manager
cad,average,engineering,btech,Mechanical Engineer
data,good,technology,btech,AI/ML Engineer
figma,excellent,technology,bsc,UI/UX Designer
data,excellent,analytics,btech,Business Analyst
excel,good,analytics,bba,Business Analyst
data,good,analytics,btech,Data Scientist
mechanics,good,manufacturing,btech,Mechanical Engineer
management,excellent,technology,mba,Product Manager
hardware,average,technology,bsc,Network Engineer
art,good,media,diploma,Graphic Designer
accounting,excellent,business,mba,Financial Analyst
java,excellent,technology,mca,Backend Engineer
photoshop,good,media,bdes,Graphic Designer
math,good,analytics,mtech,Machine Learning Engineer
design,excellent,creative,bsc,UI/UX Designer
hardware,good,infrastructure,bsc,Network Engineer
illustrator,good,media,diploma,Graphic Designer
python,excellent,analytics,msc,Data Scientist
photoshop,average,media,bdes,Graphic Designer
data,good,technology,mtech,Machine Learning Engineer
python,good,technology,mca,Data Engineer
database,average,technology,btech,Full Stack Developer
sql,excellent,analytics,high_school,Business Analyst
diagnosis,good,healthcare,md,Doctor
python,good,technology,mtech,Cybersecurity Analyst
lab,good,research,phd,Chemist
research,good,research,btech,Biologist
html,excellent,technology,bsc,UI/UX Designer
javascript,average,technology,bca,Software Developer
networking,good,infrastructure,btech,DevOps Engineer
python,good,technology,bsc,Backend Engineer
excel,good,analytics,btech,Data Analyst
physics,good,manufacturing,mtech,Mechanical Engineer
research,average,research,bsc,Chemist
chemistry,good,research,msc,Chemist
lab,good,science,phd,Chemist
data,good,business,mba,Business Analyst
linux,excellent,security,btech,Cybersecurity Analyst
design,excellent,creative,bdes,UI/UX Designer
math,good,business,bba,Financial Analyst
diagnosis,good,infrastructure,btech,Network Engineer
css,poor,technology,bfa,UI/UX Designer
web,average,technology,bsc,Full Stack Developer
deep learning,excellent,technology,bsc,AI/ML Engineer
art,average,media,bdes,Graphic Designer
research,good,science,bsc,Biologist
sql,average,technology,mba,Backend Engineer
writing,good,media,ma,Content Writer
python,good,technology,btech,Data Engineer
sql,good,business,btech,Business Analyst
accounting,excellent,business,bba,Financial Analyst
math,excellent,business,bcom,Financial Analyst
management,excellent,hr,ba,HR Manager
database,good,technology,bsc,Backend Engineer
javascript,good,technology,btech,Full Stack Developer
physics,average,engineering,diploma,Mechanical Engineer
management,excellent,business,bba,Product Manager
python,excellent,security,btech,Cybersecurity Analyst
design,good,creative,ba,UI/UX Designer
security,good,technology,mca,DevOps Engineer
data,good,analytics,btech,Machine Learning Engineer
networking,average,technology,btech,Network Engineer
physics,good,manufacturing,diploma,Mechanical Engineer
math,good,business,bba,Data Analyst
accounting,good,finance,mba,Financial Analyst
photoshop,good,media,diploma,Graphic Designer
writing,excellent,news,diploma,Journalist
sql,good,analytics,bsc,Data Analyst
excel,excellent,analytics,btech,Business Analyst
chemistry,average,science,bsc,Chemist
research,good,science,msc,Chemist
python,average,research,mtech,Data Scientist
sql,excellent,hr,bba,Business Analyst
math,excellent,analytics,mtech,AI/ML Engineer
c++,good,technology,mtech,Software Developer
javascript,good,technology,mca,Software Developer
javascript,average,technology,bca,Software Developer
c++,good,media,btech,Data Engineer
seo,excellent,media,ba,Content Writer
finance,good,business,mcom,Financial Analyst
management,excellent,hr,ba,HR Manager
management,excellent,business,btech,Product Manager
biology,average,science,mbbs,Biologist
math,good,analytics,msc,Machine Learning Engineer
python,good,analytics,mca,Data Engineer
biology,average,research,msc,Biologist
python,good,technology,mca,Backend Engineer
sql,excellent,research,phd,Data Scientist
photoshop,average,media,diploma,Graphic Designer
math,excellent,technology,msc,AI/ML Engineer
cad,average,business,btech,Civil Engineer
python,average,technology,btech,Full Stack Developer
python,excellent,engineering,btech,Cybersecurity Analyst
strategy,excellent,business,mba,Product Manager
mechanics,average,manufacturing,diploma,Mechanical Engineer
illustrator,average,media,bdes,Graphic Designer
python,good,technology,btech,DevOps Engineer
database,good,technology,btech,Full Stack Developer
writing,average,marketing,ba,Content Writer
database,good,analytics,mca,Data Engineer
python,good,technology,btech,Backend Engineer
data,good,analytics,btech,Machine Learning Engineer
database,good,analytics,btech,Data Engineer
research,average,science,bsc,Biologist
python,good,security,mtech,Cybersecurity Analyst
writing,good,engineering,btech,Civil Engineer
data,good,technology,btech,Machine Learning Engineer
management,good,technology,mba,Business Analyst
research,average,research,bsc,Biologist
management,excellent,hr,ba,HR Manager
research,good,research,msc,Chemist
editing,good,marketing,ma,Content Writer
networking,good,technology,btech,Cybersecurity Analyst
writing,good,media,ma,Content Writer
design,good,creative,bdes,UI/UX Designer
biology,good,news,md,Doctor
linux,good,technology,bsc,Cybersecurity Analyst
data,good,analytics,btech,Data Analyst
photoshop,good,media,bfa,Graphic Designer
java,average,technology,mca,Backend Engineer
marketing,excellent,business,mba,Marketing Manager
editing,good,marketing,bba,Content Writer
research,good,science,mbbs,Biologist
construction,good,infrastructure,mtech,Civil Engineer
management,good,business,mba,Marketing Manager
investigation,poor,media,ba,Journalist
python,good,technology,mca,DevOps Engineer
html,excellent,technology,bsc,UI/UX Designer
investigation,excellent,infrastructure,ma,Journalist
database,good,technology,bsc,Backend Engineer
research,good,science,bsc,Biologist
data,good,technology,btech,Data Engineer
biology,average,science,bsc,Biologist
python,good,technology,btech,Machine Learning Engineer
communication,excellent,hr,bba,HR Manager
data,good,technology,phd,Data Scientist
communication,excellent,hr,bba,HR Manager
linux,excellent,security,mtech,Cybersecurity Analyst
python,good,analytics,btech,AI/ML Engineer
management,good,healthcare,phd,Doctor
data,good,technology,btech,Data Engineer
r,excellent,research,phd,Data Scientist
math,good,technology,msc,Machine Learning Engineer
physics,good,engineering,btech,Mechanical Engineer
writing,good,marketing,mba,Marketing Manager
marketing,excellent,marketing,mba,Marketing Manager
linux,good,security,bsc,Cybersecurity Analyst
math,excellent,business,bba,Financial Analyst
lab,average,science,msc,Chemist
cad,good,engineering,mtech,Mechanical Engineer
research,good,science,bsc,Biologist
networking,good,infrastructure,mca,DevOps Engineer
networking,good,infrastructure,mca,DevOps Engineer
seo,excellent,business,mba,Marketing Manager
data,good,analytics,btech,Data Engineer
python,good,infrastructure,btech,DevOps Engineer
photoshop,good,media,bfa,Graphic Designer
database,good,technology,btech,Data Engineer
cad,average,manufacturing,btech,Mechanical Engineer
medicine,excellent,science,mbbs,Doctor
python,excellent,analytics,btech,AI/ML Engineer
design,poor,creative,ba,UI/UX Designer
python,good,technology,msc,Machine Learning Engineer
linux,average,infrastructure,btech,DevOps Engineer
management,excellent,technology,diploma,Product Manager
math,good,business,bsc,Data Analyst
accounting,excellent,business,bcom,Financial Analyst
management,good,business,bba,Business Analyst
research,good,research,mbbs,Biologist
psychology,poor,hr,bba,HR Manager
deep learning,excellent,technology,msc,AI/ML Engineer
construction,good,engineering,ba,Civil Engineer
writing,good,marketing,ma,Content Writer
diagnosis,good,healthcare,md,Doctor
communication,excellent,business,ba,HR Manager
photoshop,average,creative,diploma,Graphic Designer
physics,average,manufacturing,diploma,Mechanical Engineer
r,good,analytics,phd,Data Scientist
r,good,research,mtech,Data Scientist
writing,excellent,media,bba,Content Writer
seo,excellent,media,ba,Content Writer
database,average,technology,mtech,Backend Engineer
biology,excellent,science,md,Doctor
database,average,technology,mca,Full Stack Developer
database,average,technology,mca,Full Stack Developer
agile,average,business,bba,Product Manager
research,good,research,bsc,Chemist
math,good,technology,msc,Data Scientist
biology,good,science,mbbs,Biologist
management,excellent,marketing,mba,Marketing Manager
medicine,poor,media,ma,Journalist
sql,excellent,business,btech,Business Analyst
sql,good,technology,mtech,Backend Engineer
seo,good,business,mba,Marketing Manager
sql,excellent,analytics,mba,Business Analyst
writing,excellent,media,ba,Journalist
python,good,technology,mca,Data Engineer
research,good,research,mbbs,Biologist
python,average,technology,mca,Full Stack Developer
interviewing,excellent,technology,diploma,Journalist
medicine,good,science,diploma,Doctor
editing,excellent,marketing,ma,Content Writer
data,good,research,phd,Data Scientist
web,average,technology,bsc,Software Developer
linux,good,technology,btech,Network Engineer
data,good,technology,msc,Machine Learning Engineer
math,excellent,finance,bcom,Financial Analyst
research,good,research,diploma,Chemist
illustrator,average,creative,bdes,Graphic Designer
security,excellent,infrastructure,btech,DevOps Engineer
management,excellent,technology,mba,Product Manager
psychology,excellent,hr,mba,HR Manager
art,average,creative,bdes,Graphic Designer
biology,good,manufacturing,diploma,Mechanical Engineer
interviewing,excellent,media,ba,Journalist
deep learning,excellent,analytics,msc,AI/ML Engineer
data,good,marketing,mba,Marketing Manager
security,good,technology,diploma,Network Engineer
security,average,infrastructure,diploma,Network Engineer
seo,excellent,media,bba,Content Writer
hardware,average,infrastructure,btech,Network Engineer
management,good,business,mba,Marketing Manager
database,good,analytics,mtech,Data Engineer
photoshop,excellent,media,bdes,Graphic Designer
python,excellent,analytics,msc,AI/ML Engineer
research,excellent,research,msc,Chemist
writing,good,media,btech,Content Writer
writing,excellent,marketing,ba,Content Writer
linux,good,infrastructure,btech,DevOps Engineer
cad,average,infrastructure,mtech,Civil Engineer
database,good,news,mca,Data Engineer
seo,excellent,marketing,mca,Content Writer
strategy,excellent,technology,bba,Product Manager
node,average,technology,btech,Backend Engineer
data,excellent,analytics,mtech,AI/ML Engineer
management,good,business,mba,Marketing Manager
math,good,business,bba,Financial Analyst
python,good,technology,mca,DevOps Engineer
javascript,average,technology,mca,Full Stack Developer
html,good,creative,mca,UI/UX Designer
deep learning,excellent,analytics,btech,AI/ML Engineer
math,good,technology,btech,AI/ML Engineer
writing,excellent,media,diploma,Journalist
finance,excellent,finance,bba,Financial Analyst
data,excellent,technology,mtech,Data Scientist
seo,excellent,marketing,ba,Content Writer
javascript,average,technology,bca,Software Developer
data,excellent,business,btech,AI/ML Engineer
medicine,excellent,science,mbbs,Doctor
lab,good,science,bsc,Chemist
mechanics,good,manufacturing,mtech,Mechanical Engineer
java,good,technology,mca,Software Developer
sql,good,technology,mca,Backend Engineer
research,average,research,bsc,Chemist
marketing,good,business,ba,Marketing Manager
security,good,infrastructure,mca,DevOps Engineer
interviewing,excellent,technology,ma,Journalist
database,good,technology,mtech,Backend Engineer
sql,good,business,btech,Data Analyst
python,excellent,security,btech,Cybersecurity Analyst
cad,good,engineering,btech,Mechanical Engineer
sql,excellent,technology,mba,Backend Engineer
math,good,analytics,btech,Data Analyst
linux,excellent,security,mtech,Cybersecurity Analyst
hardware,good,infrastructure,mca,Network Engineer
editing,excellent,marketing,ma,Content Writer
mechanics,good,engineering,diploma,Mechanical Engineer
networking,excellent,security,btech,Cybersecurity Analyst
management,excellent,business,mba,HR Manager
python,good,technology,mca,Full Stack Developer
management,excellent,marketing,bba,Marketing Manager
chemistry,average,technology,mca,Full Stack Developer
finance,excellent,business,bcom,Financial Analyst
database,good,technology,btech,Full Stack Developer
python,good,analytics,mtech,Machine Learning Engineer
networking,good,infrastructure,btech,Network Engineer
diagnosis,excellent,science,md,Doctor
python,average,technology,bsc,Full Stack Developer
python,average,technology,msc,AI/ML Engineer
marketing,excellent,marketing,bba,Marketing Manager
math,good,technology,btech,Machine Learning Engineer
data,excellent,analytics,btech,AI/ML Engineer
database,good,technology,btech,Full Stack Developer
research,good,research,phd,Chemist
python,good,analytics,mtech,Machine Learning Engineer
web,good,technology,bca,Software Developer
management,good,business,mba,Business Analyst
writing,excellent,business,bba,Marketing Manager
math,good,analytics,mtech,Machine Learning Engineer
data,average,engineering,mtech,Mechanical Engineer
sql,average,technology,mtech,Backend Engineer
math,good,analytics,bsc,Data Scientist
java,average,technology,bca,Software Developer
data,good,technology,btech,Data Engineer
excel,good,business,btech,Data Analyst
linux,good,technology,btech,Cybersecurity Analyst
security,good,healthcare,mbbs,Doctor
math,excellent,business,mcom,Financial Analyst
biology,excellent,healthcare,mbbs,Doctor
research,average,science,mba,Chemist
deep learning,excellent,technology,mtech,AI/ML Engineer
css,excellent,creative,phd,UI/UX Designer
data,excellent,technology,btech,Data Scientist
data,good,technology,btech,AI/ML Engineer
illustrator,average,media,diploma,Graphic Designer
physics,average,manufacturing,mtech,Mechanical Engineer
python,good,analytics,msc,AI/ML Engineer
construction,average,infrastructure,btech,Civil Engineer
python,average,technology,mca,Full Stack Developer
seo,excellent,media,ba,Content Writer
python,good,technology,btech,DevOps Engineer
python,good,technology,mtech,Cybersecurity Analyst
excel,good,business,bsc,Business Analyst
editing,good,marketing,bba,Content Writer
strategy,excellent,technology,btech,Product Manager
physics,average,manufacturing,mtech,Mechanical Engineer
management,good,analytics,btech,Business Analyst
hardware,good,infrastructure,bsc,Network Engineer
excel,average,engineering,high_school,Civil Engineer
research,average,science,mbbs,Biologist
node,good,technology,mtech,Data Scientist
writing,excellent,media,ba,Content Writer
html,excellent,technology,bsc,UI/UX Designer
web,average,technology,btech,Full Stack Developer
linux,average,technology,diploma,Network Engineer
medicine,excellent,healthcare,md,Doctor
data,excellent,business,bba,Marketing Manager
data,good,creative,mtech,Machine Learning Engineer
cad,good,engineering,btech,Mechanical Engineer
design,excellent,media,diploma,Graphic Designer
art,average,creative,bfa,Graphic Designer
database,average,manufacturing,btech,Backend Engineer
editing,excellent,media,bba,Content Writer
art,good,creative,bfa,Graphic Designer
python,good,analytics,bsc,Data Scientist
sql,good,technology,btech,Backend Engineer
math,good,business,btech,Data Analyst
construction,good,infrastructure,mtech,Civil Engineer
excel,excellent,business,btech,Business Analyst
strategy,excellent,technology,mba,Product Manager
python,good,analytics,phd,Data Engineer
physics,good,technology,mtech,Civil Engineer
management,excellent,hr,mba,HR Manager
math,good,analytics,bba,Data Analyst
css,poor,technology,bfa,UI/UX Designer
r,good,analytics,mba,Data Scientist
python,good,technology,btech,Software Developer
psychology,excellent,business,ba,HR Manager
sql,excellent,business,mba,Business Analyst
lab,average,science,bsc,Biologist
linux,poor,technology,btech,Network Engineer
physics,good,engineering,mtech,Mechanical Engineer
psychology,excellent,hr,mba,HR Manager
physics,average,manufacturing,mtech,Mechanical Engineer
biology,excellent,science,mbbs,Doctor
chemistry,poor,marketing,bsc,Chemist
data,poor,analytics,msc,AI/ML Engineer
data,good,analytics,mtech,Machine Learning Engineer
biology,good,healthcare,mbbs,Doctor
management,excellent,technology,btech,Product Manager
biology,average,science,mbbs,Biologist
lab,good,science,mbbs,Biologist
editing,excellent,media,mtech,Content Writer
psychology,excellent,business,mba,HR Manager
cad,average,engineering,btech,Civil Engineer
math,good,analytics,mtech,AI/ML Engineer
finance,good,business,bba,Financial Analyst
mechanics,average,engineering,btech,Mechanical Engineer
diagnosis,good,science,md,Doctor
writing,excellent,news,diploma,Journalist
math,good,technology,bsc,Data Scientist
data,excellent,business,btech,Data Analyst
management,excellent,technology,bba,HR Manager
management,excellent,business,mba,Product Manager
sql,good,technology,diploma,Data Engineer
design,average,media,bdes,Graphic Designer
writing,excellent,news,ma,Journalist
art,good,analytics,bfa,Graphic Designer
mechanics,poor,manufacturing,mtech,Mechanical Engineer
management,excellent,business,mba,Marketing Manager
data,good,technology,btech,Machine Learning Engineer
security,good,infrastructure,btech,DevOps Engineer
research,good,science,bsc,Chemist
construction,good,engineering,btech,Civil Engineer
python,good,analytics,mca,Data Engineer
python,good,technology,mca,Data Engineer
strategy,good,technology,mba,Product Manager
python,good,technology,btech,Full Stack Developer
excel,good,business,bba,Data Analyst
cad,good,engineering,btech,Civil Engineer
java,good,technology,btech,Software Developer
investigation,excellent,media,ba,Journalist
management,excellent,business,btech,Business Analyst
data,good,analytics,mca,Data Engineer
networking,good,technology,btech,DevOps Engineer
biology,average,research,mbbs,Biologist
sql,excellent,technology,mtech,Data Scientist
writing,good,marketing,ba,Content Writer
psychology,excellent,hr,mba,HR Manager
figma,good,technology,bdes,UI/UX Designer
biology,average,science,bsc,Biologist
management,excellent,business,bba,HR Manager
communication,excellent,hr,ba,HR Manager
medicine,good,healthcare,md,Doctor
lab,good,research,msc,Chemist
biology,good,science,phd,Biologist
python,average,technology,bsc,Software Developer
networking,average,research,diploma,Network Engineer
css,excellent,technology,bsc,UI/UX Designer
excel,good,business,mba,Business Analyst
management,excellent,business,ba,HR Manager
seo,good,media,bba,Content Writer
excel,good,analytics,bba,Business Analyst
seo,good,business,bba,Marketing Manager
networking,excellent,technology,mca,DevOps Engineer
database,good,analytics,btech,Data Engineer
web,average,technology,mca,Software Developer
web,average,technology,btech,Software Developer
networking,good,infrastructure,bsc,Network Engineer
math,excellent,technology,msc,AI/ML Engineer
hardware,good,technology,btech,Network Engineer
python,excellent,analytics,mtech,AI/ML Engineer
medicine,average,science,mbbs,Doctor
networking,good,security,btech,Cybersecurity Analyst
lab,average,research,bsc,Biologist
linux,good,infrastructure,btech,DevOps Engineer
hardware,average,analytics,bsc,Network Engineer
writing,excellent,technology,msc,AI/ML Engineer
finance,excellent,finance,mba,Financial Analyst
psychology,excellent,business,bba,HR Manager
interviewing,excellent,news,diploma,Journalist
lab,good,science,phd,Chemist
javascript,good,technology,bsc,Software Developer
excel,good,business,bsc,Data Analyst
construction,good,infrastructure,btech,Civil Engineer
writing,excellent,media,mba,Journalist
interviewing,excellent,news,ma,Journalist
medicine,good,science,md,Doctor
security,good,infrastructure,mca,DevOps Engineer
sql,excellent,technology,mba,Product Manager
javascript,average,technology,mca,Full Stack Developer
chemistry,good,research,mca,Chemist
security,good,infrastructure,btech,Network Engineer
management,excellent,business,bba,Product Manager
communication,excellent,business,ba,HR Manager
data,good,technology,btech,Data Engineer
seo,excellent,marketing,phd,Marketing Manager
finance,excellent,finance,bba,Financial Analyst
medicine,good,healthcare,mbbs,Doctor
art,excellent,hr,ba,HR Manager
data,excellent,media,ma,Journalist
excel,good,business,bsc,Data Analyst
python,good,technology,btech,Data Engineer
research,average,research,phd,Chemist
excel,good,infrastructure,bba,Data Analyst
security,good,technology,bsc,Network Engineer
illustrator,average,media,bfa,Graphic Designer
figma,good,technology,bfa,UI/UX Designer
sql,good,analytics,btech,Data Engineer
javascript,good,infrastructure,btech,Network Engineer
hardware,average,infrastructure,btech,Network Engineer
java,good,technology,bca,Software Developer
mechanics,good,engineering,btech,Mechanical Engineer
deep learning,excellent,media,btech,AI/ML Engineer
cad,good,engineering,diploma,Mechanical Engineer
security,excellent,technology,mtech,Cybersecurity Analyst
python,excellent,analytics,btech,Data Scientist
physics,average,manufacturing,btech,Mechanical Engineer
data,good,analytics,btech,Business Analyst
c++,average,technology,mtech,Software Developer
finance,excellent,business,bcom,Financial Analyst
math,good,technology,mtech,Data Scientist
math,excellent,technology,mtech,AI/ML Engineer
management,excellent,hr,ba,HR Manager
agile,excellent,technology,bba,Product Manager
psychology,excellent,hr,mba,HR Manager
finance,good,business,bcom,Financial Analyst
hardware,average,infrastructure,bsc,Network Engineer
deep learning,excellent,analytics,msc,AI/ML Engineer
linux,good,finance,bba,Financial Analyst
management,good,business,bba,Marketing Manager
research,good,research,msc,Chemist
management,excellent,technology,btech,Product Manager
biology,good,science,bsc,Biologist
python,good,technology,btech,Machine Learning Engineer
seo,good,media,ma,Content Writer
mechanics,average,manufacturing,diploma,Mechanical Engineer
python,good,technology,mca,DevOps Engineer
data,good,analytics,btech,AI/ML Engineer
biology,good,science,phd,Biologist
finance,excellent,finance,mba,Financial Analyst
diagnosis,good,healthcare,mbbs,Doctor
math,good,analytics,msc,Machine Learning Engineer
strategy,good,technology,mba,Product Manager
data,good,analytics,btech,Machine Learning Engineer
management,excellent,business,btech,Product Manager
data,good,analytics,bba,Data Analyst
linux,good,technology,mca,DevOps Engineer
mechanics,excellent,engineering,btech,Mechanical Engineer
c++,average,technology,mca,Software Developer
deep learning,good,media,bba,Content Writer
hardware,good,technology,bsc,Network Engineer
python,good,infrastructure,btech,DevOps Engineer
construction,good,marketing,diploma,Civil Engineer
psychology,excellent,business,mba,HR Manager
interviewing,excellent,news,ba,Journalist
research,average,research,phd,Chemist
editing,excellent,media,ba,Content Writer
python,poor,analytics,btech,Machine Learning Engineer
math,good,analytics,msc,Machine Learning Engineer
research,average,research,mbbs,Biologist
networking,average,technology,bsc,Cybersecurity Analyst
database,good,analytics,btech,Data Engineer
math,excellent,analytics,msc,AI/ML Engineer
cad,good,engineering,mtech,Civil Engineer
research,good,science,phd,Biologist
art,average,creative,bfa,Graphic Designer
lab,average,research,bsc,Chemist
art,average,creative,bdes,Graphic Designer
python,good,technology,mca,Data Engineer
database,good,technology,mca,Full Stack Developer
node,good,technology,mtech,Backend Engineer
figma,excellent,analytics,ba,UI/UX Designer
biology,excellent,healthcare,mbbs,Doctor
cad,good,infrastructure,diploma,Civil Engineer
accounting,excellent,business,mcom,Financial Analyst
python,good,technology,msc,Machine Learning Engineer
security,excellent,research,btech,Cybersecurity Analyst
database,good,technology,btech,Data Engineer
python,excellent,technology,bfa,UI/UX Designer
biology,good,research,msc,Biologist
diagnosis,good,healthcare,mbbs,Doctor
javascript,good,technology,bsc,Full Stack Developer
research,average,research,bsc,Chemist
data,good,technology,msc,Machine Learning Engineer
writing,good,business,bba,Marketing Manager
writing,good,marketing,bba,Marketing Manager
lab,good,science,bsc,Biologist
biology,average,science,phd,Biologist
web,good,technology,mca,Full Stack Developer
diagnosis,good,science,md,Doctor
data,good,technology,btech,AI/ML Engineer
seo,good,marketing,ba,Content Writer
management,good,marketing,mba,Marketing Manager
linux,good,technology,mca,DevOps Engineer
math,good,analytics,btech,Machine Learning Engineer
math,excellent,research,btech,Data Scientist
python,excellent,hr,bba,HR Manager
cad,good,engineering,mtech,Civil Engineer
investigation,excellent,media,ba,Journalist
python,good,technology,bsc,Full Stack Developer
illustrator,average,creative,diploma,Graphic Designer
linux,good,infrastructure,diploma,Network Engineer
writing,good,marketing,bba,Marketing Manager
writing,excellent,business,mba,Marketing Manager
data,good,creative,bsc,UI/UX Designer
communication,excellent,technology,bba,HR Manager
excel,average,science,msc,Biologist
construction,good,engineering,diploma,Civil Engineer
photoshop,good,creative,bfa,Graphic Designer
javascript,average,technology,bsc,Software Developer
python,good,technology,mca,Software Developer
linux,good,infrastructure,btech,DevOps Engineer
physics,good,engineering,diploma,Mechanical Engineer
linux,excellent,security,bsc,Cybersecurity Analyst
math,good,technology,mtech,AI/ML Engineer
python,good,infrastructure,btech,DevOps Engineer
deep learning,poor,analytics,btech,AI/ML Engineer
security,average,security,mtech,Cybersecurity Analyst
management,good,business,bba,Marketing Manager
excel,excellent,business,bba,Financial Analyst
research,average,science,phd,Chemist
data,good,technology,btech,Machine Learning Engineer
seo,good,media,bba,Content Writer
physics,average,manufacturing,diploma,Mechanical Engineer
hardware,average,infrastructure,btech,Network Engineer
c++,good,technology,btech,Software Developer
illustrator,average,creative,bfa,Graphic Designer
excel,good,business,bsc,Business Analyst
physics,good,infrastructure,diploma,Civil Engineer
investigation,excellent,news,diploma,Journalist
cad,average,engineering,diploma,Mechanical Engineer
node,average,technology,mtech,Backend Engineer
sql,good,technology,bsc,Data Scientist
math,good,analytics,bsc,Data Scientist
management,excellent,business,ba,HR Manager
linux,excellent,technology,mtech,Cybersecurity Analyst
data,excellent,analytics,btech,Data Scientist
data,good,analytics,mba,Business Analyst
editing,excellent,marketing,bba,Content Writer
linux,good,media,diploma,Network Engineer
java,good,technology,bca,Software Developer
construction,good,engineering,diploma,Civil Engineer
css,excellent,creative,bfa,UI/UX Designer
biology,good,healthcare,md,Doctor
math,average,technology,btech,Data Scientist
medicine,excellent,science,md,Doctor
interviewing,excellent,news,ba,Journalist
python,good,technology,mtech,Machine Learning Engineer
python,good,analytics,mtech,Machine Learning Engineer
sql,good,analytics,mca,Data Engineer
seo,excellent,business,bba,Marketing Manager
editing,good,media,bba,Content Writer
data,good,research,phd,Data Scientist
interviewing,excellent,media,ma,Journalist
chemistry,good,science,msc,Chemist
research,good,research,phd,Chemist
database,good,technology,bsc,Full Stack Developer
networking,good,infrastructure,mca,DevOps Engineer
writing,average,marketing,ba,Content Writer
node,good,technology,mca,Backend Engineer
writing,excellent,news,ma,Journalist
javascript,excellent,science,mbbs,Doctor
biology,good,research,mbbs,Biologist
lab,average,research,msc,Biologist
lab,average,research,bsc,Chemist
management,good,business,mba,Business Analyst
interviewing,excellent,news,ba,Journalist
python,good,analytics,mtech,Machine Learning Engineer
java,average,business,bsc,Software Developer
photoshop,average,analytics,bdes,Graphic Designer
psychology,excellent,business,ba,HR Manager
math,good,business,bsc,Data Analyst
agile,excellent,technology,mba,Product Manager
math,good,analytics,msc,AI/ML Engineer
web,good,technology,bsc,Full Stack Developer
